t,u_ib,E_p,E_p_err,factor,factor_err,exponent,r2
0.01,1.5,0.9559321723950039,1.2165701580275748e-9,0.02956235900962722,5.483316573183084e-9,-0.5,0.986521473636858
0.02,1.5,0.9092275000284717,4.042817074397213e-9,0.06039671484962478,1.750563735276746e-8,-0.5,0.9893414507776642
0.03,1.5,0.8576346160238272,1.0041356569181772e-8,0.09927122399949767,4.2614090002890813e-8,-0.5,0.9884807007213332
0.04,1.5,0.7966178955269723,2.3644384748484618e-8,0.16573384887766035,9.871981765542166e-8,-0.5,0.9863342377807394
0.05,1.5,0.7154853383247741,4.7980314949995716e-8,0.3185920157879238,1.9721138237185923e-7,-0.5,0.9894555537779441
0.06,1.5,0.6206802651926167,2.088819744960503e-8,0.5816327186698101,8.517932860617247e-8,-0.5,0.9996280168321118
