width,height,filling_factor,t,u_ib,qmc,E_imp,E_imp_err,E_no_imp,E_no_imp_err,E_p,E_p_err
2,2,1.0,0.02,-2.0,false,-3.1719444520046833,0.0,-0.1059876379434012,0.0,-3.0659568140612823,0.0
2,2,1.0,0.02,-1.9,false,-2.9362758486312717,0.0,-0.1059876379434012,0.0,-2.8302882106878706,0.0
2,2,1.0,0.02,-1.8,false,-2.7181701369333715,0.0,-0.1059876379434012,0.0,-2.6121824989899705,0.0
2,2,1.0,0.02,-1.7,false,-2.509074056583481,0.0,-0.1059876379434012,0.0,-2.40308641864008,0.0
2,2,1.0,0.02,-1.6,false,-2.3045494735304146,0.0,-0.1059876379434012,0.0,-2.1985618355870136,0.0
2,2,1.0,0.02,-1.5,false,-2.102755441176108,0.0,-0.1059876379434012,0.0,-1.9967678032327065,0.0
2,2,1.0,0.02,-1.4,false,-1.9030888604275595,0.0,-0.1059876379434012,0.0,-1.7971012224841583,0.0
2,2,1.0,0.02,-1.3,false,-1.705798712142958,0.0,-0.1059876379434012,0.0,-1.5998110741995568,0.0
2,2,1.0,0.02,-1.2,false,-1.5124633463786186,0.0,-0.1059876379434012,0.0,-1.4064757084352173,0.0
2,2,1.0,0.02,-1.1,false,-1.3283921806527723,0.0,-0.1059876379434012,0.0,-1.222404542709371,0.0
2,2,1.0,0.02,-1.0,false,-1.167216344291303,0.0,-0.1059876379434012,0.0,-1.0612287063479018,0.0
2,2,1.0,0.02,-0.9,false,-1.0366163673927418,0.0,-0.1059876379434012,0.0,-0.9306287294493406,0.0
2,2,1.0,0.02,-0.8,false,-0.9230934167258494,0.0,-0.1059876379434012,0.0,-0.8171057787824483,0.0
2,2,1.0,0.02,-0.7,false,-0.816264964858963,0.0,-0.1059876379434012,0.0,-0.7102773269155619,0.0
2,2,1.0,0.02,-0.6,false,-0.7123296922684265,0.0,-0.1059876379434012,0.0,-0.6063420543250253,0.0
2,2,1.0,0.02,-0.5,false,-0.6098625665384872,0.0,-0.1059876379434012,0.0,-0.5038749285950861,0.0
2,2,1.0,0.02,-0.4,false,-0.5082450990147991,0.0,-0.1059876379434012,0.0,-0.40225746107139787,0.0
2,2,1.0,0.02,-0.3,false,-0.4071747938156444,0.0,-0.1059876379434012,0.0,-0.3011871558722432,0.0
2,2,1.0,0.02,-0.2,false,-0.3064919998512737,0.0,-0.1059876379434012,0.0,-0.20050436190787246,0.0
2,2,1.0,0.02,-0.1,false,-0.20611055292940755,0.0,-0.1059876379434012,0.0,-0.10012291498600635,0.0
2,2,1.0,0.02,0.0,false,-0.1059876379434012,0.0,-0.1059876379434012,0.0,0.0,0.0
2,2,1.0,0.02,0.1,false,-0.00611096000946039,0.0,-0.1059876379434012,0.0,0.09987667793394081,0.0
2,2,1.0,0.02,0.2,false,0.09350450431038655,0.0,-0.1059876379434012,0.0,0.19949214225378775,0.0
2,2,1.0,0.02,0.3,false,0.1928118698902444,0.0,-0.1059876379434012,0.0,0.2987995078336456,0.0
2,2,1.0,0.02,0.4,false,0.2917169965603318,0.0,-0.1059876379434012,0.0,0.397704634503733,0.0
2,2,1.0,0.02,0.5,false,0.39004212032595675,0.0,-0.1059876379434012,0.0,0.49602975826935797,0.0
2,2,1.0,0.02,0.6,false,0.48743818292706115,0.0,-0.1059876379434012,0.0,0.5934258208704624,0.0
2,2,1.0,0.02,0.7,false,0.5831487138747873,0.0,-0.1059876379434012,0.0,0.6891363518181884,0.0
2,2,1.0,0.02,0.8,false,0.6752634064668899,0.0,-0.1059876379434012,0.0,0.781251044410291,0.0
2,2,1.0,0.02,0.9,false,0.7580464458278062,0.0,-0.1059876379434012,0.0,0.8640340837712074,0.0
2,2,1.0,0.02,1.0,false,0.8165200294238999,0.0,-0.1059876379434012,0.0,0.922507667367301,0.0
2,2,1.0,0.02,1.1,false,0.8431738686155951,0.0,-0.1059876379434012,0.0,0.9491615065589962,0.0
2,2,1.0,0.02,1.2,false,0.8540719559966783,0.0,-0.1059876379434012,0.0,0.9600595939400794,0.0
2,2,1.0,0.02,1.3,false,0.8595267944443992,0.0,-0.1059876379434012,0.0,0.9655144323878003,0.0
2,2,1.0,0.02,1.4,false,0.8627914545558338,0.0,-0.1059876379434012,0.0,0.968779092499235,0.0
2,2,1.0,0.02,1.5,false,0.864987688325128,0.0,-0.1059876379434012,0.0,0.9709753262685291,0.0
2,2,1.0,0.02,1.6,false,0.8665836341068024,0.0,-0.1059876379434012,0.0,0.9725712720502036,0.0
2,2,1.0,0.02,1.7,false,0.8678067440638054,0.0,-0.1059876379434012,0.0,0.9737943820072066,0.0
2,2,1.0,0.02,1.8,false,0.8687807538594572,0.0,-0.1059876379434012,0.0,0.9747683918028583,0.0
2,2,1.0,0.02,1.9,false,0.8695789637246598,0.0,-0.1059876379434012,0.0,0.975566601668061,0.0
2,2,1.0,0.02,2.0,false,0.8702477505779788,0.0,-0.1059876379434012,0.0,0.9762353885213799,0.0
2,2,1.0,0.06,-2.0,false,-3.6064607256072567,0.0,-0.48854201570776407,0.0,-3.1179187098994925,0.0
2,2,1.0,0.06,-1.9,false,-3.3733578059317426,0.0,-0.48854201570776407,0.0,-2.8848157902239784,0.0
2,2,1.0,0.06,-1.8,false,-3.1503253560939646,0.0,-0.48854201570776407,0.0,-2.6617833403862003,0.0
2,2,1.0,0.06,-1.7,false,-2.9362573180080704,0.0,-0.48854201570776407,0.0,-2.447715302300306,0.0
2,2,1.0,0.06,-1.6,false,-2.7301774921488597,0.0,-0.48854201570776407,0.0,-2.2416354764410955,0.0
2,2,1.0,0.06,-1.5,false,-2.5314996122436693,0.0,-0.48854201570776407,0.0,-2.042957596535905,0.0
2,2,1.0,0.06,-1.4,false,-2.340137480003881,0.0,-0.48854201570776407,0.0,-1.851595464296117,0.0
2,2,1.0,0.06,-1.3,false,-2.1565124267185456,0.0,-0.48854201570776407,0.0,-1.6679704110107816,0.0
2,2,1.0,0.06,-1.2,false,-1.9814593779088208,0.0,-0.48854201570776407,0.0,-1.4929173622010568,0.0
2,2,1.0,0.06,-1.1,false,-1.8159782153771922,0.0,-0.48854201570776407,0.0,-1.3274361996694282,0.0
2,2,1.0,0.06,-1.0,false,-1.6608099395621636,0.0,-0.48854201570776407,0.0,-1.1722679238543996,0.0
2,2,1.0,0.06,-0.9,false,-1.5159957337933994,0.0,-0.48854201570776407,0.0,-1.0274537180856353,0.0
2,2,1.0,0.06,-0.8,false,-1.3807251460185,0.0,-0.48854201570776407,0.0,-0.8921831303107359,0.0
2,2,1.0,0.06,-0.7,false,-1.2535928168866282,0.0,-0.48854201570776407,0.0,-0.7650508011788641,0.0
2,2,1.0,0.06,-0.6,false,-1.133031176743011,0.0,-0.48854201570776407,0.0,-0.644489161035247,0.0
2,2,1.0,0.06,-0.5,false,-1.017633197095441,0.0,-0.48854201570776407,0.0,-0.5290911813876771,0.0
2,2,1.0,0.06,-0.4,false,-0.9062841230910852,0.0,-0.48854201570776407,0.0,-0.4177421073833211,0.0
