width,height,filling_factor,t,u_ib,qmc,steps,E_imp,E_imp_err,E_no_imp,E_no_imp_err,E_p,E_p_err
2,2,1.0,0.02,-2.0,false,1,-3.1719444520046833,0.0,-0.1059876379434012,0.0,-3.0659568140612823,0.0
2,2,1.0,0.02,-1.9,false,1,-2.9362758486312717,0.0,-0.1059876379434012,0.0,-2.8302882106878706,0.0
2,2,1.0,0.02,-1.8,false,1,-2.7181701369333715,0.0,-0.1059876379434012,0.0,-2.6121824989899705,0.0
2,2,1.0,0.02,-1.7,false,1,-2.509074056583481,0.0,-0.1059876379434012,0.0,-2.40308641864008,0.0
2,2,1.0,0.02,-1.6,false,1,-2.3045494735304146,0.0,-0.1059876379434012,0.0,-2.1985618355870136,0.0
2,2,1.0,0.02,-1.5,false,1,-2.102755441176108,0.0,-0.1059876379434012,0.0,-1.9967678032327065,0.0
2,2,1.0,0.02,-1.4,false,1,-1.9030888604275595,0.0,-0.1059876379434012,0.0,-1.7971012224841583,0.0
2,2,1.0,0.02,-1.3,false,1,-1.705798712142958,0.0,-0.1059876379434012,0.0,-1.5998110741995568,0.0
2,2,1.0,0.02,-1.2,false,1,-1.5124633463786186,0.0,-0.1059876379434012,0.0,-1.4064757084352173,0.0
2,2,1.0,0.02,-1.1,false,1,-1.3283921806527723,0.0,-0.1059876379434012,0.0,-1.222404542709371,0.0
2,2,1.0,0.02,-1.0,false,1,-1.167216344291303,0.0,-0.1059876379434012,0.0,-1.0612287063479018,0.0
2,2,1.0,0.02,-0.9,false,1,-1.0366163673927418,0.0,-0.1059876379434012,0.0,-0.9306287294493406,0.0
2,2,1.0,0.02,-0.8,false,1,-0.9230934167258494,0.0,-0.1059876379434012,0.0,-0.8171057787824483,0.0
2,2,1.0,0.02,-0.7,false,1,-0.816264964858963,0.0,-0.1059876379434012,0.0,-0.7102773269155619,0.0
2,2,1.0,0.02,-0.6,false,1,-0.7123296922684265,0.0,-0.1059876379434012,0.0,-0.6063420543250253,0.0
2,2,1.0,0.02,-0.5,false,1,-0.6098625665384872,0.0,-0.1059876379434012,0.0,-0.5038749285950861,0.0
2,2,1.0,0.02,-0.4,false,1,-0.5082450990147991,0.0,-0.1059876379434012,0.0,-0.40225746107139787,0.0
2,2,1.0,0.02,-0.3,false,1,-0.4071747938156444,0.0,-0.1059876379434012,0.0,-0.3011871558722432,0.0
2,2,1.0,0.02,-0.2,false,1,-0.3064919998512737,0.0,-0.1059876379434012,0.0,-0.20050436190787246,0.0
2,2,1.0,0.02,-0.1,false,1,-0.20611055292940755,0.0,-0.1059876379434012,0.0,-0.10012291498600635,0.0
2,2,1.0,0.02,0.0,false,1,-0.1059876379434012,0.0,-0.1059876379434012,0.0,0.0,0.0
2,2,1.0,0.02,0.1,false,1,-0.00611096000946039,0.0,-0.1059876379434012,0.0,0.09987667793394081,0.0
2,2,1.0,0.02,0.2,false,1,0.09350450431038655,0.0,-0.1059876379434012,0.0,0.19949214225378775,0.0
2,2,1.0,0.02,0.3,false,1,0.1928118698902444,0.0,-0.1059876379434012,0.0,0.2987995078336456,0.0
2,2,1.0,0.02,0.4,false,1,0.2917169965603318,0.0,-0.1059876379434012,0.0,0.397704634503733,0.0
2,2,1.0,0.02,0.5,false,1,0.39004212032595675,0.0,-0.1059876379434012,0.0,0.49602975826935797,0.0
2,2,1.0,0.02,0.6,false,1,0.48743818292706115,0.0,-0.1059876379434012,0.0,0.5934258208704624,0.0
2,2,1.0,0.02,0.7,false,1,0.5831487138747873,0.0,-0.1059876379434012,0.0,0.6891363518181884,0.0
2,2,1.0,0.02,0.8,false,1,0.6752634064668899,0.0,-0.1059876379434012,0.0,0.781251044410291,0.0
2,2,1.0,0.02,0.9,false,1,0.7580464458278062,0.0,-0.1059876379434012,0.0,0.8640340837712074,0.0
2,2,1.0,0.02,1.0,false,1,0.8165200294238999,0.0,-0.1059876379434012,0.0,0.922507667367301,0.0
2,2,1.0,0.02,1.1,false,1,0.8431738686155951,0.0,-0.1059876379434012,0.0,0.9491615065589962,0.0
2,2,1.0,0.02,1.2,false,1,0.8540719559966783,0.0,-0.1059876379434012,0.0,0.9600595939400794,0.0
2,2,1.0,0.02,1.3,false,1,0.8595267944443992,0.0,-0.1059876379434012,0.0,0.9655144323878003,0.0
2,2,1.0,0.02,1.4,false,1,0.8627914545558338,0.0,-0.1059876379434012,0.0,0.968779092499235,0.0
2,2,1.0,0.02,1.5,false,1,0.864987688325128,0.0,-0.1059876379434012,0.0,0.9709753262685291,0.0
2,2,1.0,0.02,1.6,false,1,0.8665836341068024,0.0,-0.1059876379434012,0.0,0.9725712720502036,0.0
2,2,1.0,0.02,1.7,false,1,0.8678067440638054,0.0,-0.1059876379434012,0.0,0.9737943820072066,0.0
2,2,1.0,0.02,1.8,false,1,0.8687807538594572,0.0,-0.1059876379434012,0.0,0.9747683918028583,0.0
2,2,1.0,0.02,1.9,false,1,0.8695789637246598,0.0,-0.1059876379434012,0.0,0.975566601668061,0.0
2,2,1.0,0.02,2.0,false,1,0.8702477505779788,0.0,-0.1059876379434012,0.0,0.9762353885213799,0.0
2,2,1.0,0.06,-2.0,false,1,-3.6064607256072567,0.0,-0.48854201570776407,0.0,-3.1179187098994925,0.0
2,2,1.0,0.06,-1.9,false,1,-3.3733578059317426,0.0,-0.48854201570776407,0.0,-2.8848157902239784,0.0
2,2,1.0,0.06,-1.8,false,1,-3.1503253560939646,0.0,-0.48854201570776407,0.0,-2.6617833403862003,0.0
2,2,1.0,0.06,-1.7,false,1,-2.9362573180080704,0.0,-0.48854201570776407,0.0,-2.447715302300306,0.0
2,2,1.0,0.06,-1.6,false,1,-2.7301774921488597,0.0,-0.48854201570776407,0.0,-2.2416354764410955,0.0
2,2,1.0,0.06,-1.5,false,1,-2.5314996122436693,0.0,-0.48854201570776407,0.0,-2.042957596535905,0.0
2,2,1.0,0.06,-1.4,false,1,-2.340137480003881,0.0,-0.48854201570776407,0.0,-1.851595464296117,0.0
2,2,1.0,0.06,-1.3,false,1,-2.1565124267185456,0.0,-0.48854201570776407,0.0,-1.6679704110107816,0.0
2,2,1.0,0.06,-1.2,false,1,-1.9814593779088208,0.0,-0.48854201570776407,0.0,-1.4929173622010568,0.0
2,2,1.0,0.06,-1.1,false,1,-1.8159782153771922,0.0,-0.48854201570776407,0.0,-1.3274361996694282,0.0
2,2,1.0,0.06,-1.0,false,1,-1.6608099395621636,0.0,-0.48854201570776407,0.0,-1.1722679238543996,0.0
2,2,1.0,0.06,-0.9,false,1,-1.5159957337933994,0.0,-0.48854201570776407,0.0,-1.0274537180856353,0.0
2,2,1.0,0.06,-0.8,false,1,-1.3807251460185,0.0,-0.48854201570776407,0.0,-0.8921831303107359,0.0
2,2,1.0,0.06,-0.7,false,1,-1.2535928168866282,0.0,-0.48854201570776407,0.0,-0.7650508011788641,0.0
2,2,1.0,0.06,-0.6,false,1,-1.133031176743011,0.0,-0.48854201570776407,0.0,-0.644489161035247,0.0
2,2,1.0,0.06,-0.5,false,1,-1.017633197095441,0.0,-0.48854201570776407,0.0,-0.5290911813876771,0.0
2,2,1.0,0.06,-0.4,false,1,-0.9062841230910852,0.0,-0.48854201570776407,0.0,-0.4177421073833211,0.0
2,2,1.0,0.06,-0.3,false,1,-0.7981664230651786,0.0,-0.48854201570776407,0.0,-0.30962440735741453,0.0
2,2,1.0,0.06,-0.2,false,1,-0.692715732840577,0.0,-0.48854201570776407,0.0,-0.2041737171328129,0.0
2,2,1.0,0.06,-0.1,false,1,-0.5895718857229248,0.0,-0.48854201570776407,0.0,-0.10102987001516078,0.0
2,2,1.0,0.06,0.0,false,1,-0.48854201570776407,0.0,-0.48854201570776407,0.0,0.0,0.0
2,2,1.0,0.06,0.1,false,1,-0.3895801078507761,0.0,-0.48854201570776407,0.0,0.09896190785698794,0.0
2,2,1.0,0.06,0.2,false,1,-0.2927835280501798,0.0,-0.48854201570776407,0.0,0.19575848765758425,0.0
2,2,1.0,0.06,0.3,false,1,-0.1984068860747467,0.0,-0.48854201570776407,0.0,0.29013512963301735,0.0
2,2,1.0,0.06,0.4,false,1,-0.10689403605333889,0.0,-0.48854201570776407,0.0,0.3816479796544252,0.0
2,2,1.0,0.06,0.5,false,1,-0.01892728962490598,0.0,-0.48854201570776407,0.0,0.4696147260828581,0.0
2,2,1.0,0.06,0.6,false,1,0.0645160312219656,0.0,-0.48854201570776407,0.0,0.5530580469297297,0.0
2,2,1.0,0.06,0.7,false,1,0.142134486098518,0.0,-0.48854201570776407,0.0,0.6306765018062821,0.0
2,2,1.0,0.06,0.8,false,1,0.2123808113908489,0.0,-0.48854201570776407,0.0,0.700922827098613,0.0
2,2,1.0,0.06,0.9,false,1,0.2737554696723644,0.0,-0.48854201570776407,0.0,0.7622974853801285,0.0
2,2,1.0,0.06,1.0,false,1,0.32531574394467777,0.0,-0.48854201570776407,0.0,0.8138577596524419,0.0
2,2,1.0,0.06,1.1,false,1,0.3671170938316461,0.0,-0.48854201570776407,0.0,0.8556591095394102,0.0
2,2,1.0,0.06,1.2,false,1,0.4002013944058569,0.0,-0.48854201570776407,0.0,0.8887434101136209,0.0
2,2,1.0,0.06,1.3,false,1,0.42614384275278183,0.0,-0.48854201570776407,0.0,0.914685858460546,0.0
2,2,1.0,0.06,1.4,false,1,0.4465512335064591,0.0,-0.48854201570776407,0.0,0.9350932492142232,0.0
2,2,1.0,0.06,1.5,false,1,0.4627829983228625,0.0,-0.48854201570776407,0.0,0.9513250140306266,0.0
2,2,1.0,0.06,1.6,false,1,0.4758851064725418,0.0,-0.48854201570776407,0.0,0.9644271221803058,0.0
2,2,1.0,0.06,1.7,false,1,0.4866279392872838,0.0,-0.48854201570776407,0.0,0.9751699549950479,0.0
2,2,1.0,0.06,1.8,false,1,0.4955705829680691,0.0,-0.48854201570776407,0.0,0.9841125986758332,0.0
2,2,1.0,0.06,1.9,false,1,0.5031191890969399,0.0,-0.48854201570776407,0.0,0.991661204804704,0.0
2,2,1.0,0.06,2.0,false,1,0.5095715249638652,0.0,-0.48854201570776407,0.0,0.9981135406716293,0.0
2,2,1.0,0.1,-2.0,false,1,-4.132556070656749,0.0,-1.0728524459134698,0.0,-3.059703624743279,0.0
2,2,1.0,0.1,-1.9,false,1,-3.91161778435085,0.0,-1.0728524459134698,0.0,-2.8387653384373803,0.0
2,2,1.0,0.1,-1.8,false,1,-3.699321976339577,0.0,-1.0728524459134698,0.0,-2.626469530426107,0.0
2,2,1.0,0.1,-1.7,false,1,-3.495313984544662,0.0,-1.0728524459134698,0.0,-2.4224615386311923,0.0
2,2,1.0,0.1,-1.6,false,1,-3.299280718780961,0.0,-1.0728524459134698,0.0,-2.226428272867491,0.0
2,2,1.0,0.1,-1.5,false,1,-3.110988735325187,0.0,-1.0728524459134698,0.0,-2.038136289411717,0.0
2,2,1.0,0.1,-1.4,false,1,-2.9302885801786354,0.0,-1.0728524459134698,0.0,-1.8574361342651655,0.0
2,2,1.0,0.1,-1.3,false,1,-2.757089965571169,0.0,-1.0728524459134698,0.0,-1.684237519657699,0.0
2,2,1.0,0.1,-1.2,false,1,-2.591317475465089,0.0,-1.0728524459134698,0.0,-1.5184650295516193,0.0
2,2,1.0,0.1,-1.1,false,1,-2.432859801426378,0.0,-1.0728524459134698,0.0,-1.360007355512908,0.0
2,2,1.0,0.1,-1.0,false,1,-2.2815269666117506,0.0,-1.0728524459134698,0.0,-1.2086745206982807,0.0
2,2,1.0,0.1,-0.9,false,1,-2.1370278034629626,0.0,-1.0728524459134698,0.0,-1.0641753575494928,0.0
2,2,1.0,0.1,-0.8,false,1,-1.9989732720361455,0.0,-1.0728524459134698,0.0,-0.9261208261226757,0.0
2,2,1.0,0.1,-0.7,false,1,-1.8669023925781587,0.0,-1.0728524459134698,0.0,-0.7940499466646889,0.0
2,2,1.0,0.1,-0.6,false,1,-1.7403210203391823,0.0,-1.0728524459134698,0.0,-0.6674685744257125,0.0
2,2,1.0,0.1,-0.5,false,1,-1.618742293707446,0.0,-1.0728524459134698,0.0,-0.5458898477939762,0.0
2,2,1.0,0.1,-0.4,false,1,-1.501720671448917,0.0,-1.0728524459134698,0.0,-0.42886822553544723,0.0
2,2,1.0,0.1,-0.3,false,1,-1.3888761659502074,0.0,-1.0728524459134698,0.0,-0.3160237200367375,0.0
2,2,1.0,0.1,-0.2,false,1,-1.2799091526195199,0.0,-1.0728524459134698,0.0,-0.20705670670605003,0.0
2,2,1.0,0.1,-0.1,false,1,-1.174608045000785,0.0,-1.0728524459134698,0.0,-0.10175559908731513,0.0
2,2,1.0,0.1,0.0,false,1,-1.0728524459134698,0.0,-1.0728524459134698,0.0,0.0,0.0
2,2,1.0,0.1,0.1,false,1,-0.9746137789730338,0.0,-1.0728524459134698,0.0,0.09823866694043604,0.0
2,2,1.0,0.1,0.2,false,1,-0.8799543942490732,0.0,-1.0728524459134698,0.0,0.19289805166439666,0.0
2,2,1.0,0.1,0.3,false,1,-0.7890249866345643,0.0,-1.0728524459134698,0.0,0.2838274592789055,0.0
2,2,1.0,0.1,0.4,false,1,-0.7020589639127567,0.0,-1.0728524459134698,0.0,0.37079348200071316,0.0
2,2,1.0,0.1,0.5,false,1,-0.6193612688373688,0.0,-1.0728524459134698,0.0,0.4534911770761011,0.0
2,2,1.0,0.1,0.6,false,1,-0.5412884241506333,0.0,-1.0728524459134698,0.0,0.5315640217628366,0.0
2,2,1.0,0.1,0.7,false,1,-0.4682169064538837,0.0,-1.0728524459134698,0.0,0.6046355394595861,0.0
2,2,1.0,0.1,0.8,false,1,-0.40049925005707726,0.0,-1.0728524459134698,0.0,0.6723531958563926,0.0
2,2,1.0,0.1,0.9,false,1,-0.3384119413090306,0.0,-1.0728524459134698,0.0,0.7344405046044393,0.0
2,2,1.0,0.1,1.0,false,1,-0.28210496256262435,0.0,-1.0728524459134698,0.0,0.7907474833508454,0.0
2,2,1.0,0.1,1.1,false,1,-0.2315664392927723,0.0,-1.0728524459134698,0.0,0.8412860066206975,0.0
2,2,1.0,0.1,1.2,false,1,-0.18661357749386684,0.0,-1.0728524459134698,0.0,0.886238868419603,0.0
2,2,1.0,0.1,1.3,false,1,-0.146912610874815,0.0,-1.0728524459134698,0.0,0.9259398350386548,0.0
2,2,1.0,0.1,1.4,false,1,-0.11202032985890686,0.0,-1.0728524459134698,0.0,0.960832116054563,0.0
2,2,1.0,0.1,1.5,false,1,-0.08143391433661835,0.0,-1.0728524459134698,0.0,0.9914185315768514,0.0
2,2,1.0,0.1,1.6,false,1,-0.05463661643524404,0.0,-1.0728524459134698,0.0,1.0182158294782258,0.0
2,2,1.0,0.1,1.7,false,1,-0.031132011098045777,0.0,-1.0728524459134698,0.0,1.041720434815424,0.0
2,2,1.0,0.1,1.8,false,1,-0.010465132955813784,0.0,-1.0728524459134698,0.0,1.062387312957656,0.0
2,2,1.0,0.1,1.9,false,1,0.007767560870480772,0.0,-1.0728524459134698,0.0,1.0806200067839506,0.0
2,2,1.0,0.1,2.0,false,1,0.023916122573232473,0.0,-1.0728524459134698,0.0,1.0967685684867023,0.0
2,3,1.0,0.02,-2.0,false,1,-3.200105289208528,0.0,-0.10975153868177596,0.0,-3.090353750526752,0.0
2,3,1.0,0.02,-1.9,false,1,-2.9561909835834594,0.0,-0.10975153868177596,0.0,-2.8464394449016837,0.0
2,3,1.0,0.02,-1.8,false,1,-2.734871353213458,0.0,-0.10975153868177596,0.0,-2.6251198145316823,0.0
2,3,1.0,0.02,-1.7,false,1,-2.5246869685799025,0.0,-0.10975153868177596,0.0,-2.4149354298981267,0.0
2,3,1.0,0.02,-1.6,false,1,-2.319589191097343,0.0,-0.10975153868177596,0.0,-2.209837652415567,0.0
2,3,1.0,0.02,-1.5,false,1,-2.1172069784562564,0.0,-0.10975153868177596,0.0,-2.0074554397744806,0.0
2,3,1.0,0.02,-1.4,false,1,-1.9166806178150277,0.0,-0.10975153868177596,0.0,-1.8069290791332517,0.0
2,3,1.0,0.02,-1.3,false,1,-1.7179555324701854,0.0,-0.10975153868177596,0.0,-1.6082039937884094,0.0
2,3,1.0,0.02,-1.2,false,1,-1.5219862483773032,0.0,-0.10975153868177596,0.0,-1.4122347096955272,0.0
2,3,1.0,0.02,-1.1,false,1,-1.3328742101823492,0.0,-0.10975153868177596,0.0,-1.2231226715005732,0.0
2,3,1.0,0.02,-1.0,false,1,-1.1659373459724882,0.0,-0.10975153868177596,0.0,-1.0561858072907122,0.0
2,3,1.0,0.02,-0.9,false,1,-1.0354184693069968,0.0,-0.10975153868177596,0.0,-0.9256669306252208,0.0
