L,width,height,N,t,u_ib,E_p,E_p_err,E_fit,E_fit_err,factor,factor_err
4,4,4,16,0.065,-0.5,-0.5428383045272932,1.469159469057779e-5,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
5,5,5,25,0.065,-0.5,-0.5444201809712883,3.2300489149225315e-5,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
6,6,6,36,0.065,-0.5,-0.5455391778646688,5.104533054849087e-5,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
7,7,7,49,0.065,-0.5,-0.5465177771107625,7.162552749531915e-5,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
8,8,8,64,0.065,-0.5,-0.5471007316847616,0.00010056598591747209,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
9,9,9,81,0.065,-0.5,-0.5475722169974455,0.00014185014343327495,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
10,10,10,100,0.065,-0.5,-0.5477329998387095,0.000168803836164332,-0.5511205625341682,7.970555453476039e-5,0.03316536870150003,5.3834315980954116e-5
