0.001	0.000585937499999995
0.006	0.00359375000000001
0.011	0.00667968750000001
0.016	0.00976562500000003
0.021	0.0128515625
0.026	0.016015625
0.031	0.0191796875
0.036	0.022421875
0.041	0.0256640625
0.046	0.02890625
0.051	0.0322265625
0.056	0.035546875
0.061	0.0388671875
0.066	0.042265625
0.071	0.0456640625
0.076	0.0490624999999999
0.081	0.0525390624999999
0.086	0.0559374999999999
0.091	0.0594140624999999
0.096	0.0628906249999999
0.101	0.0662890624999999
0.106	0.0697656249999999
0.111	0.0732421874999999
0.116	0.0766406249999999
0.121	0.0800390624999999
0.126	0.0834374999999999
0.131	0.0868359374999999
0.136	0.0901562499999999
0.141	0.0933984374999999
0.146	0.0965624999999999
0.151	0.0997265624999999
0.156	0.102734375
0.161	0.1057421875
0.166	0.10859375
0.171	0.1112890625
0.176	0.113984375
0.181	0.1164453125
0.186	0.118828125
0.191	0.1210546875
0.196	0.123046875
0.201	0.1249609375
0.206	0.12671875
0.211	0.1282421875
0.216	0.129609375
0.221	0.1308203125
0.226	0.131875
0.231	0.1326953125
0.236	0.133359375
0.241	0.1338671875
0.246	0.13421875
0.251	0.1343359375
0.256	0.134375
0.261	0.1341796875
0.266	0.133828125
0.271	0.1333984375
0.276	0.132734375
0.281	0.1319921875
0.286	0.13109375
0.291	0.1300390625
0.296	0.128906250000001
0.301	0.127617187500001
0.306	0.126250000000001
0.311	0.124726562500001
0.316	0.123125000000001
0.321	0.121445312500001
0.326	0.119687500000001
0.331	0.117773437500001
0.336	0.115781250000001
0.341	0.113710937500001
0.346	0.111640625000001
0.351	0.109414062500001
0.356	0.107109375000001
0.361	0.104804687500001
0.366	0.102343750000001
0.371	0.0998828125000009
0.376	0.0973437500000009
0.381	0.0947265625000009
0.386	0.0921093750000009
0.391	0.0894140625000009
0.396	0.0866406250000009
0.401	0.0838671875000009
0.406	0.0810156250000009
0.411	0.0780859375000009
0.416	0.0751562500000009
0.421	0.0722265625000009
0.426	0.0691406250000009
0.431	0.0661328125000009
0.436	0.0630468750000009
0.441	0.0598828125000009
0.446	0.0567187500000008
0.451	0.0535546875000008
0.456	0.0503125000000008
0.461	0.0469921875000008
0.466	0.0437500000000008
0.471	0.0404296875000008
0.476	0.0370312500000008
0.481	0.0337109375000008
0.486	0.0302343750000007
0.491	0.0268359375000007
0.496	0.0233593750000007
