# dJUs, omega0s, omega1s, omega2s
5.150000000000000133e-01,2.382659480181033573e-01,-1.245446750967742211e-02,-1.118511609792630437e-03
5.200000000000000178e-01,2.390340457659369811e-01,-1.245056129550364821e-02,-1.122227346966294184e-03
5.250000000000000222e-01,2.398040940424452094e-01,-1.244607275946614175e-02,-1.126105335981046444e-03
5.300000000000000266e-01,2.405760449801827294e-01,-1.244103854018021454e-02,-1.130139312046726839e-03
5.350000000000000311e-01,2.413498526661119470e-01,-1.243549320350853180e-02,-1.134323311729007640e-03
5.400000000000000355e-01,2.421254730353832874e-01,-1.242946936515103989e-02,-1.138651656391950848e-03
5.450000000000000400e-01,2.429028637716807992e-01,-1.242299780538248452e-02,-1.143118936654990373e-03
5.500000000000000444e-01,2.436819842137155911e-01,-1.241610757648290049e-02,-1.147719997791789683e-03
5.550000000000000488e-01,2.444627952674354177e-01,-1.240882610337753697e-02,-1.152449926009319623e-03
5.600000000000000533e-01,2.452452593235801559e-01,-1.240117927795284999e-02,-1.157304035549193639e-03
5.650000000000000577e-01,2.460293401802180480e-01,-1.239319154748681241e-02,-1.162277856553682121e-03
5.700000000000000622e-01,2.468150029699670567e-01,-1.238488599759181644e-02,-1.167367123647402314e-03
5.750000000000000666e-01,2.476022140915623282e-01,-1.237628443004656041e-02,-1.172567765186939429e-03
5.799999999999999600e-01,2.483909411454993388e-01,-1.236740743585585355e-02,-1.177875893139170797e-03
5.849999999999999645e-01,2.491811528734956538e-01,-1.235827446386242659e-02,-1.183287793541227617e-03
5.899999999999999689e-01,2.499728191015229140e-01,-1.234890388520018707e-02,-1.188799917510572875e-03
5.949999999999999734e-01,2.507659106861700460e-01,-1.233931305386899886e-02,-1.194408872767674422e-03
5.999999999999999778e-01,2.515603994641424368e-01,-1.232951836367885898e-02,-1.200111415639257403e-03
6.049999999999999822e-01,2.523562582046856018e-01,-1.231953530180483758e-02,-1.205904443513863703e-03
6.099999999999999867e-01,2.531534605647604574e-01,-1.230937849916666042e-02,-1.211784987718927302e-03
6.149999999999999911e-01,2.539519810467817940e-01,-1.229906177784089588e-02,-1.217750206796944668e-03
6.199999999999999956e-01,2.547517949587854713e-01,-1.228859819569185288e-02,-1.223797380150331128e-03
6.250000000000000000e-01,2.555528783768294399e-01,-1.227800008840006576e-02,-1.229923902043020744e-03
6.300000000000000044e-01,2.563552081095389346e-01,-1.226727910905071016e-02,-1.236127275926631646e-03
6.350000000000000089e-01,2.571587616646451302e-01,-1.225644626543238858e-02,-1.242405109075836282e-03
6.400000000000000133e-01,2.579635172173795898e-01,-1.224551195519412404e-02,-1.248755107516388851e-03
6.450000000000000178e-01,2.587694535806323581e-01,-1.223448599898737874e-02,-1.255175071227043878e-03
6.500000000000000222e-01,2.595765501767425820e-01,-1.222337767172358702e-02,-1.261662889598992978e-03
6.550000000000000266e-01,2.603847870108620954e-01,-1.221219573205361425e-02,-1.268216537137419790e-03
6.600000000000000311e-01,2.611941446457561877e-01,-1.220094845018560546e-02,-1.274834069391411534e-03
6.650000000000000355e-01,2.620046041779815482e-01,-1.218964363413561382e-02,-1.281513619099018545e-03
6.700000000000000400e-01,2.628161472153290323e-01,-1.217828865451132947e-02,-1.288253392538607576e-03
6.750000000000000444e-01,2.636287558555075461e-01,-1.216689046790898031e-02,-1.295051666066066422e-03
6.800000000000000488e-01,2.644424126659347674e-01,-1.215545563901435609e-02,-1.301906782836642325e-03
6.850000000000000533e-01,2.652571006646192719e-01,-1.214399036147654001e-02,-1.308817149695585885e-03
6.900000000000000577e-01,2.660728033020194894e-01,-1.213250047763574785e-02,-1.315781234231775060e-03
6.950000000000000622e-01,2.668895044439040798e-01,-1.212099149715931655e-02,-1.322797561975592269e-03
7.000000000000000666e-01,2.677071883550334319e-01,-1.210946861466741416e-02,-1.329864713752125591e-03
7.049999999999999600e-01,2.685258396837477135e-01,-1.209793672638983034e-02,-1.336981323157908526e-03
7.099999999999999645e-01,2.693454434472903336e-01,-1.208640044592018507e-02,-1.344146074173933544e-03
7.149999999999999689e-01,2.701659850179204958e-01,-1.207486411911686854e-02,-1.351357698894637771e-03
7.199999999999999734e-01,2.709874501097039867e-01,-1.206333183819832330e-02,-1.358614975372678417e-03
7.249999999999999778e-01,2.718098247659668232e-01,-1.205180745508112328e-02,-1.365916725572959792e-03
7.299999999999999822e-01,2.726330953473876106e-01,-1.204029459399968104e-02,-1.373261813425333353e-03
7.349999999999999867e-01,2.734572485206609449e-01,-1.202879666345447150e-02,-1.380649142979405511e-03
7.399999999999999911e-01,2.742822712477259173e-01,-1.201731686752053122e-02,-1.388077656645181086e-03
7.449999999999999956e-01,2.751081507755150368e-01,-1.200585821655504766e-02,-1.395546333524185813e-03
7.500000000000000000e-01,2.759348746262100804e-01,-1.199442353733615185e-02,-1.403054187818836371e-03
7.550000000000000044e-01,2.767624305879342050e-01,-1.198301548266954980e-02,-1.410600267324993440e-03
7.600000000000000089e-01,2.775908067059206785e-01,-1.197163654048240440e-02,-1.418183651992057509e-03
7.650000000000000133e-01,2.784199912740657479e-01,-1.196028904244441672e-02,-1.425803452557324307e-03
7.700000000000000178e-01,2.792499728269037251e-01,-1.194897517213240612e-02,-1.433458809242860090e-03
7.750000000000000222e-01,2.800807401319327372e-01,-1.193769697276998720e-02,-1.441148890516501637e-03
7.800000000000000266e-01,2.809122821822914173e-01,-1.192645635456214721e-02,-1.448872891913114899e-03
7.850000000000000311e-01,2.817445881897720494e-01,-1.191525510164933091e-02,-1.456630034912634840e-03
7.900000000000000355e-01,2.825776475781701103e-01,-1.190409487869516399e-02,-1.464419565864657222e-03
7.950000000000000400e-01,2.834114499768800033e-01,-1.189297723713919272e-02,-1.472240754974486017e-03
8.000000000000000444e-01,2.842459852148140897e-01,-1.188190362112190486e-02,-1.480092895329234489e-03
8.050000000000000488e-01,2.850812433145687996e-01,-1.187087537310367764e-02,-1.487975301971502596e-03
8.100000000000000533e-01,2.859172144868599164e-01,-1.185989373919504701e-02,-1.495887311015339565e-03
8.150000000000000577e-01,2.867538891251497635e-01,-1.184895987421426614e-02,-1.503828278809626667e-03
8.200000000000000622e-01,2.875912578005751508e-01,-1.183807484648043834e-02,-1.511797581127630229e-03
8.250000000000000666e-01,2.884293112569891182e-01,-1.182723964236839440e-02,-1.519794612410916559e-03
8.300000000000000711e-01,2.892680404063266431e-01,-1.181645517062060967e-02,-1.527818785028138863e-03
8.349999999999999645e-01,2.901074363240485066e-01,-1.180572226644777817e-02,-1.535869528584658502e-03
8.399999999999999689e-01,2.909474902448174194e-01,-1.179504169541729583e-02,-1.543946289257829311e-03
8.449999999999999734e-01,2.917881935583732100e-01,-1.178441415713952015e-02,-1.552048529156310882e-03
8.499999999999999778e-01,2.926295378055085439e-01,-1.177384028877324212e-02,-1.560175725718602200e-03
8.549999999999999822e-01,2.934715146742595815e-01,-1.176332066834771470e-02,-1.568327371130277554e-03
8.599999999999999867e-01,2.943141159961918940e-01,-1.175285581792018773e-02,-1.576502971773575479e-03
8.649999999999999911e-01,2.951573337428738397e-01,-1.174244620657008756e-02,-1.584702047696029317e-03
8.699999999999999956e-01,2.960011600224413120e-01,-1.173209225324447352e-02,-1.592924132107783599e-03
8.750000000000000000e-01,2.968455870763297422e-01,-1.172179432945616266e-02,-1.601168770894530538e-03
8.800000000000000044e-01,2.976906072760830413e-01,-1.171155276185032075e-02,-1.609435522160787037e-03
8.850000000000000089e-01,2.985362131203043723e-01,-1.170136783463828975e-02,-1.617723955785804399e-03
8.900000000000000133e-01,2.993823972317197768e-01,-1.169123979190767916e-02,-1.626033653000018026e-03
8.950000000000000178e-01,3.002291523543096918e-01,-1.168116883982124946e-02,-1.634364205985182816e-03
9.000000000000000222e-01,3.010764713505925672e-01,-1.167115514869821770e-02,-1.642715217482945168e-03
9.050000000000000266e-01,3.019243471989511152e-01,-1.166119885499659024e-02,-1.651086300428297000e-03
9.100000000000000311e-01,3.027727729910770771e-01,-1.165130006319378859e-02,-1.659477077594931479e-03
9.150000000000000355e-01,3.036217419294894859e-01,-1.164145884757122711e-02,-1.667887181255518249e-03
9.200000000000000400e-01,3.044712473251376395e-01,-1.163167525391246848e-02,-1.676316252858399110e-03
9.250000000000000444e-01,3.053212825950945009e-01,-1.162194930111252154e-02,-1.684763942714134549e-03
9.300000000000000488e-01,3.061718412602838502e-01,-1.161228098271064983e-02,-1.693229909701141978e-03
9.350000000000000533e-01,3.070229169433318916e-01,-1.160267026834129085e-02,-1.701713820977597200e-03
9.400000000000000577e-01,3.078745033664426756e-01,-1.159311710511683018e-02,-1.710215351708811119e-03
9.450000000000000622e-01,3.087265943493633369e-01,-1.158362141893691868e-02,-1.718734184803984372e-03
9.500000000000000666e-01,3.095791838073905233e-01,-1.157418311573617242e-02,-1.727270010667158930e-03
9.550000000000000711e-01,3.104322657494567594e-01,-1.156480208266595644e-02,-1.735822526953562312e-03
9.599999999999999645e-01,3.112858342762563346e-01,-1.155547818921834162e-02,-1.744391438339956213e-03
9.649999999999999689e-01,3.121398835784332526e-01,-1.154621128829335340e-02,-1.752976456301794583e-03
9.699999999999999734e-01,3.129944079348212504e-01,-1.153700121721256376e-02,-1.761577298900137128e-03
9.749999999999999778e-01,3.138494017107313905e-01,-1.152784779868109080e-02,-1.770193690576765243e-03
9.799999999999999822e-01,3.147048593562715713e-01,-1.151875084170426132e-02,-1.778825361961761066e-03
9.849999999999999867e-01,3.155607754047600189e-01,-1.150971014245147882e-02,-1.787472049675973857e-03
9.899999999999999911e-01,3.164171444711048053e-01,-1.150072548508585847e-02,-1.796133496161656570e-03
9.949999999999999956e-01,3.172739612503053253e-01,-1.149179664254321685e-02,-1.804809449499030112e-03
