m,t,n,u_ib,E_no_imp,E_imp,Ep,Z
3,0.001,0.7777777777777778,0.2,-0.011201047985383178,-0.0041613596917088914,0.007039688293674287,0.48486168268152374
3,0.001,1.0,0.2,-0.004072217977856039,0.1959271136124711,0.19999933159032712,0.999999639155187
3,0.002,0.7777777777777778,0.2,-0.02255867960008446,-0.008650998197537594,0.013907681402546865,0.502436250458728
3,0.002,1.0,0.2,-0.008289760197938504,0.19170755855396793,0.19999731875190643,0.9999985571312339
3,0.003,0.7777777777777778,0.2,-0.03407395027509546,-0.01347750285515937,0.020596447419936086,0.5205705679969562
3,0.003,1.0,0.2,-0.012653997852424177,0.1873399506916458,0.19999394854407,0.9999967533819373
3,0.004,0.7777777777777778,0.2,-0.045747923614375054,-0.0186497327068241,0.027098190907550952,0.5392265209407937
3,0.004,1.0,0.2,-0.017166357359586732,0.18282284846006486,0.19998920581965157,0.9999942254941736
3,0.005,0.7777777777777778,0.2,-0.0575816697256972,-0.02417671419504774,0.033404955530649455,0.5583521028266716
3,0.005,1.0,0.2,-0.02182832500531937,0.17815474799535805,0.1999830730006774,0.9999909690340889
3,0.006,0.7777777777777778,0.2,-0.06957626341960287,-0.030067498160625823,0.03950876525897704,0.5778803371409952
3,0.006,1.0,0.2,-0.026641451848943013,0.17333407799197936,0.19997552984092237,0.9999869773848394
3,0.007,0.7777777777777778,0.2,-0.08173278227463845,-0.03633097771257199,0.04540180456206647,0.5977287905778637
3,0.007,1.0,0.2,-0.03160735890355489,0.16835919427124577,0.19996655317480067,0.9999822415754264
3,0.008,0.7777777777777778,0.2,-0.09405230456788935,-0.042975670047772425,0.05107663452011693,0.6177998851228792
3,0.008,1.0,0.2,-0.036727742601138515,0.16322837405105925,0.19995611665219776,0.9999767501003032
3,0.009,0.7777777777777778,0.2,-0.10653590707060194,-0.05000946958935677,0.056526437481245174,0.6379821843321087
3,0.009,1.0,0.2,-0.042004380552218556,0.15793980990641426,0.19994419045863282,0.9999704887293664
3,0.01,0.7777777777777778,0.2,-0.11918466270967769,-0.05743938445311568,0.061745278256562015,0.6581527570145588
3,0.01,1.0,0.2,-0.04743913760952861,0.15249160341105591,0.19993074102058453,0.9999634403080514
3,0.011,0.7777777777777778,0.2,-0.13199963809682838,-0.06527127254834916,0.06672836554847922,0.6781806100880724
3,0.011,1.0,0.2,-0.05303397224417702,0.14688175845144769,0.19991573069562474,0.999955584547424
3,0.012,0.7777777777777778,0.2,-0.14498189092826802,-0.07350959670426956,0.07147229422399846,0.6979310430598186
3,0.012,1.0,0.2,-0.05879094324186377,0.14110817420549832,0.1998991174473621,0.9999468978041963
3,0.013,0.7777777777777778,0.2,-0.1581324672589752,-0.0821572192210669,0.07597524803790831,0.7172706322314784
3,0.013,1.0,0.2,-0.06471221672502314,0.13516863778032934,0.19988085450535248,0.9999373528508838
3,0.014,0.7777777777777778,0.2,-0.17145239865685868,-0.09121525456421078,0.0802371440926479,0.7360724337410985
3,0.014,1.0,0.2,-0.07080007350488028,0.12906081650555293,0.19986089001043322,0.9999269186365183
3,0.015,0.7777777777777778,0.2,-0.18494269924333223,-0.10068299443246842,0.08425970481086381,0.7542209310614264
3,0.015,1.0,0.2,-0.07705691676471024,0.122782249881577,0.19983916664628726,0.999915560038649
3,0.016,0.7777777777777778,0.2,-0.19860436262827202,-0.11055791263915893,0.0880464499891131,0.7716162644634912
3,0.016,1.0,0.2,-0.08348528007233892,0.11633034118617826,0.1998156212585172,0.9999032376077844
3,0.017,0.7777777777777778,0.2,-0.2124383587485995,-0.12083574922450827,0.09160260952409124,0.7881773690962987
3,0.017,1.0,0.2,-0.090087835715757,0.10970234874735194,0.19979018446310892,0.999889907305922
3,0.018,0.7777777777777778,0.2,-0.22644563062118558,-0.13151066535344919,0.09493496526773638,0.8038437967628935
3,0.018,1.0,0.2,-0.09686740335064041,0.10289537689618684,0.19976278024682725,0.9998755202413924
3,0.019,0.7777777777777778,0.2,-0.24062709102213536,-0.14257545418756637,0.09805163683456898,0.8185761715262146
3,0.019,1.0,0.2,-0.10382695894220176,0.09590636662067957,0.19973332556288131,0.9998600224029831
3,0.02,0.7777777777777778,0.2,-0.25498361910591627,-0.1540217889968494,0.10096183010906686,0.8323553942000081
3,0.02,1.0,0.2,-0.11096964397642396,0.08873208594998848,0.19970172992641244,0.9998433543972566
3,0.021,0.7777777777777778,0.2,-0.26951605697911396,-0.16584048864357032,0.10367556833554366,0.8451808355007709
3,0.021,1.0,0.2,-0.1182987749063752,0.08136912010894325,0.19966789501531845,0.9998254511939102
3,0.022,0.7777777777777778,0.2,-0.2842252062449075,-0.17802178197543153,0.10620342426947596,0.8570678262552939
3,0.022,1.0,0.2,-0.12581785278863825,0.07381386149493786,0.19963171428357615,0.9998062418853716
3,0.023,0.7777777777777778,0.2,-0.29911182453557,-0.1905555559240906,0.1085562686114794,0.868044765123935
3,0.023,1.0,0.2,-0.1335305730520509,0.06606249954373225,0.19959307259578316,0.9997856494682267
3,0.024,0.7777777777777778,0.2,-0.3141766220513948,-0.2034315763506441,0.1107450457007507,0.8781501313242294
3,0.024,1.0,0.2,-0.1414408353258582,0.058111010567825874,0.1995518458936841,0.9997635906557305
3,0.025,0.7777777777777778,0.2,-0.3294202581254483,-0.2166396750922019,0.1127805830332464,0.8874296291575403
3,0.025,1.0,0.2,-0.14955275323707562,0.04995514767045074,0.19950790090752632,0.9997399757325658
3,0.026,0.7777777777777778,0.2,-0.34484333783438853,-0.230169900624494,0.11467343720989452,0.8959336201383449
3,0.026,1.0,0.2,-0.15787066406666742,0.041590430861114316,0.19946109492778175,0.9997147084651655
3,0.027,0.7777777777777778,0.2,-0.3604464086762401,-0.24401263290433173,0.11643377577190837,0.9037149307700137
3,0.027,1.0,0.2,-0.16639913813127583,0.0330121375241629,0.19941127565543876,0.9996876860832477
3,0.028,0.7777777777777778,0.2,-0.37622995733652453,-0.2581586651688034,0.1180712921677211,0.9108270678087553
3,0.028,1.0,0.2,-0.17514298773131945,0.02421529342086541,0.19935828115218485,0.9996587993507071
3,0.029,0.7777777777777778,0.2,-0.3921944065643902,-0.27259925679681174,0.11959514976757844,0.9173228315958755
3,0.029,1.0,0.2,-0.1841072754772675,0.015194664437787454,0.19930193991505496,0.9996279327468508
3,0.03,0.7777777777777778,0.2,-0.40834011218041094,-0.28732616193397537,0.12101395024643558,0.9232532914972384
3,0.03,1.0,0.2,-0.19329732177403575,0.005944749329597339,0.19924207110363312,0.9995949647815209
3,0.031,0.7777777777777778,0.2,-0.4246673602375899,-0.302331638633976,0.12233572160361389,0.9286670733825543
3,0.031,1.0,0.2,-0.20271871120856075,-0.003540226257370288,0.19917848495119045,0.9995597684704873
3,0.032,0.7777777777777778,0.2,-0.44117636435656016,-0.31760844296179797,0.12356792139476219,0.9336099042921076
3,0.032,1.0,0.2,-0.2123772975485622,-0.013266314153865377,0.1991109833946968,0.9995222119998655
3,0.033,0.7777777777777778,0.2,-0.4578672632553498,-0.3331498119919172,0.12471745126343264,0.9381243609193768
3,0.033,1.0,0.2,-0.2222792070215381,-0.02323984606008201,0.19903936096145614,0.9994821596103625
3,0.034,0.7777777777777778,0.2,-0.4747401184930806,-0.3489494390340365,0.1257906794590441,0.9422497737012663
3,0.034,1.0,0.2,-0.23243083950341428,-0.03346743355088826,0.19896340595252604,0.9994394727333712
3,0.035,0.7777777777777778,0.2,-0.49179491244576273,-0.365001443810895,0.12679346863486773,0.9460222452230295
3,0.035,1.0,0.2,-0.24283886720726142,-0.04395596524272903,0.1988829019645324,0.9993940114110962
3,0.036,0.7777777777777778,0.2,-0.5090315465308631,-0.3813003397456942,0.12773120678516894,0.949474748997538
3,0.036,1.0,0.2,-0.25351023042585585,-0.05471260063462486,0.19879762979123097,0.9993456360315774
3,0.037,0.7777777777777778,0.2,-0.5264498396956981,-0.3978410000173087,0.12860883967838946,0.9526372816630019
3,0.037,1.0,0.2,-0.2644521298502412,-0.06574476010578573,0.1987073697444555,0.9992942094060361
3,0.038,0.7777777777777778,0.2,-0.544049527182726,-0.41461862361897966,0.12943090356374634,0.955537047834224
3,0.038,1.0,0.2,-0.275672014962144,-0.07706011053291742,0.19861190442922658,0.9992395992101227
3,0.039,0.7777777777777778,0.2,-0.5618302595827431,-0.43162870231026385,0.1302015572724793,0.958198662072485
3,0.039,1.0,0.2,-0.2871775679853108,-0.0886665459847487,0.19851102200056206,0.9991816808017321
3,0.04,0.7777777777777778,0.2,-0.5797916021847892,-0.44886698907628103,0.13092461310850814,0.9606443566948883
3,0.04,1.0,0.2,-0.2989766828828019,-0.10057216296485008,0.1984045199179518,0.9991203404155922
3,0.041,0.7777777777777778,0.2,-0.5979330346290639,-0.466329468493679,0.13160356613538485,0.9628941875105365
3,0.041,1.0,0.2,-0.3110774389088152,-0.11278522971072741,0.1982922091980878,0.9990554787185312
3,0.042,0.7777777777777778,0.2,-0.6162539508668028,-0.4840123292391742,0.13224162162762856,0.9649662321619333
3,0.042,1.0,0.2,-0.3234880682690583,-0.12531414912280592,0.1981739191462524,0.9989870146889914
3,0.043,0.7777777777777778,0.2,-0.6347536594284028,-0.5019119388547223,0.1328417205736805,0.9668767777029172
3,0.043,1.0,0.2,-0.33621691751767124,-0.1381674149955525,0.19804950252211878,0.9989148897602622
3,0.044,0.7777777777777778,0.2,-0.6534313839985979,-0.5200248207946011,0.1334065632039968,0.968640495479325
3,0.044,1.0,0.2,-0.3492724024250034,-0.1513535613587163,0.1979188410662871,0.9988390721394379
3,0.045,0.7777777777777778,0.2,-0.6722862642948889,-0.5383476337167713,0.1339386305781176,0.9702706024099992
3,0.045,1.0,0.2,-0.36266295619246863,-0.16488110491129807,0.1977818512811706,0.9987595611845623
3,0.046,0.7777777777777778,0.2,-0.6913173572429517,-0.5568771529377831,0.13444020430516868,0.971779008486621
3,0.046,1.0,0.2,-0.3763969710694872,-0.17875848074509043,0.1976384903243968,0.9986763916925995
3,0.047,0.7777777777777778,0.2,-0.7105236384403103,-0.5756102539421754,0.13491338449813495,0.9731764507970965
3,0.047,1.0,0.2,-0.390482733642392,-0.19299397180501762,0.19748876183737435,0.998589637922784
3,0.048,0.7777777777777778,0.2,-0.7299040038973467,-0.5945438978201926,0.1353601060771541,0.9744726146899301
3,0.048,1.0,0.2,-0.4049283543125623,-0.20759563281440246,0.19733272149815984,0.9984994171567952
3,0.049,0.7777777777777778,0.2,-0.7494572720424625,-0.6136751184985183,0.13578215354394418,0.9756762428858797
