N,t,Ep,Ep_err
9,0.01,0.19993074102058334,0.0
9,0.02,0.19970172992641383,0.0
9,0.03,0.19924207110363434,0.0
9,0.04,0.19840451991795516,0.0
9,0.05,0.19700221761833714,0.0
9,0.06,0.1950723582136603,0.0
9,0.07,0.19311830324964296,0.0
9,0.08,0.1916539190749496,0.0
9,0.09,0.19076146726657184,0.0
9,0.1,0.19028855787331633,0.0
9,0.11,0.1900790219599529,0.0
9,0.12,0.19002811521031315,0.0
9,0.13,0.190072497778615,0.0
9,0.14,0.19017435714592068,0.0
9,0.15,0.19031075582415136,0.0
9,0.16,0.19046745842841017,0.0
9,0.17,0.19063543912152958,0.0
9,0.18,0.19080887739484598,0.0
9,0.19,0.19098397724317162,0.0
9,0.2,0.19115825115614204,0.0
9,0.21,0.19133007390209145,0.0
9,0.22,0.1914983975031711,0.0
9,0.23,0.19166256519284197,0.0
9,0.24,0.19182218768959736,0.0
9,0.25,0.19197705958659128,0.0
9,0.26,0.19212710207939043,0.0
9,0.27,0.19227232328753807,0.0
9,0.28,0.19241279051121563,0.0
9,0.29,0.19254861069159346,0.0
9,0.3,0.19267991657806927,0.0
9,0.31,0.1928068569051653,0.0
9,0.32,0.1929295894120162,0.0
9,0.33,0.19304827589168005,0.0
9,0.34,0.1931630787000127,0.0
9,0.35,0.1932741583171924,0.0
9,0.36,0.19338167167335962,0.0
9,0.37,0.1934857710283313,0.0
9,0.38,0.1935866032542255,0.0
9,0.39,0.19368430941073944,0.0
9,0.4,0.19377902453136508,0.0
9,0.41,0.19387087756142418,0.0
9,0.42,0.19395999140463283,0.0
9,0.43,0.1940464830443951,0.0
9,0.44,0.19413046371725806,0.0
9,0.45,0.1942120391202764,0.0
9,0.46,0.1942913096390202,0.0
9,0.47,0.19436837058713596,0.0
9,0.48,0.19444331245051671,0.0
9,0.49,0.19451622113048384,0.0
9,0.5,0.194587178183248,0.0
9,0.51,0.19465626105243583,0.0
9,0.52,0.19472354329375818,0.0
9,0.53,0.19478909478965978,0.0
9,0.54,0.19485298195491652,0.0
9,0.55,0.19491526793123715,0.0
9,0.56,0.19497601277199017,0.0
9,0.57,0.19503527361686546,0.0
9,0.58,0.1950931048561979,0.0
9,0.59,0.1951495582863818,0.0
9,0.6,0.19520468325569373,0.0
9,0.61,0.19525852680144107,0.0
9,0.62,0.1953111337790605,0.0
9,0.63,0.19536254698317324,0.0
9,0.64,0.19541280726109056,0.0
9,0.65,0.19546195361995666,0.0
9,0.66,0.19551002332670775,0.0
9,0.67,0.195557052002155,0.0
9,0.68,0.19560307370948626,0.0
9,0.69,0.1956481210369443,0.0
9,0.7,0.19569222517616236,0.0
9,0.71,0.1957354159948217,0.0
9,0.72,0.19577772210592403,0.0
9,0.73,0.19581917093203494,0.0
9,0.74,0.19585978876651122,0.0
9,0.75,0.19589960083029467,0.0
9,0.76,0.19593863132619393,0.0
9,0.77,0.19597690348902397,0.0
9,0.78,0.1960144396338377,0.0
9,0.79,0.1960512612007861,0.0
9,0.8,0.1960873887973742,0.0
9,0.81,0.1961228422385357,0.0
9,0.82,0.19615764058453644,0.0
9,0.83,0.19619180217631493,0.0
9,0.84,0.19622534466936914,0.0
9,0.85,0.19625828506546972,0.0
9,0.86,0.19629063974281147,0.0
9,0.87,0.19632242448406556,0.0
9,0.88,0.19635365450384556,0.0
9,0.89,0.19638434447353736,0.0
9,0.9,0.19641450854599052,0.0
9,0.91,0.19644416037773338,0.0
9,0.92,0.19647331315153282,0.0
9,0.93,0.19650197959562155,0.0
9,0.94,0.19653017200434242,0.0
9,0.95,0.1965579022559707,0.0
